comuna_code,comuna,barrio_code,barrio_population_name,population_2026,polygon_barrio_name,match_method,imcv_ampi_2023
01,Popular,0101,Santo Domingo Savio No.1,23697,SANTO DOMINGO SAVIO No.1,exact,84.57
01,Popular,0102,Santo Domingo Savio No.2,9265,SANTO DOMINGO SAVIO No.2,exact,84.57
01,Popular,0103,Popular,25378,POPULAR,exact,84.57
01,Popular,0104,Granizal,11942,GRANIZAL,exact,84.57
01,Popular,0105,Moscú No.2,14317,MOSCU,explicit_alias,84.57
01,Popular,0106,Villa Guadalupe,11410,VILLA GUADALUPE,exact,84.57
01,Popular,0107,San Pablo,13437,SAN PABLO,exact,84.57
01,Popular,0108,El Compromiso,4317,EL COMPROMISO,exact,84.57
01,Popular,0109,Aldea Pablo VI,3180,ALDEA PABLO VI,exact,84.57
01,Popular,0110,La Esperanza No.2,3768,LA ESPERANZA No.2,exact,84.57
01,Popular,0111,La Avanzada,7723,LA AVANZADA,exact,84.57
01,Popular,0112,Carpinelo,13080,CARPINELO,exact,84.57
02,Santa Cruz,0201,La Isla,13593,LA ISLA,exact,89.42
02,Santa Cruz,0202,Playón de Los Comuneros,11243,PLAYON DE  LOS COMUNEROS,exact,89.42
02,Santa Cruz,0203,Pablo VI,5289,PABLO VI,exact,89.42
02,Santa Cruz,0204,La Frontera,6480,LA FRONTERA,exact,89.42
02,Santa Cruz,0205,La Francia,15853,LA FRANCIA,exact,89.42
02,Santa Cruz,0206,Andalucía,9974,ANDALUCIA,exact,89.42
02,Santa Cruz,0207,Villa del Socorro,13606,VILLA DEL SOCORRO,exact,89.42
02,Santa Cruz,0208,Villa Niza,7475,VILLA NIZA,exact,89.42
02,Santa Cruz,0209,Moscú No.1,9102,MOSCU No.1,exact,89.42
02,Santa Cruz,0210,Santa Cruz,15876,SANTA CRUZ,exact,89.42
02,Santa Cruz,0211,La Rosa,8873,LA ROSA,exact,89.42
03,Manrique,0301,La Salle,17545,LA SALLE,exact,90.05
03,Manrique,0302,Las Granjas,27361,LAS GRANJAS,exact,90.05
03,Manrique,0303,Campo Valdés No.2,18685,CAMPO VALDES No.2,exact,90.05
03,Manrique,0304,Santa Inés,18399,SANTA INES,exact,90.05
03,Manrique,0305,El Raizal,13624,EL RAIZAL,exact,90.05
03,Manrique,0306,El Pomar,4002,EL POMAR,exact,90.05
03,Manrique,0307,Manrique Central No.2,6206,MANRIQUE CENTRAL No.2,exact,90.05
03,Manrique,0308,Manrique Oriental,14111,MANRIQUE ORIENTAL,exact,90.05
03,Manrique,0309,Versalles No.1,19061,VERSALES No.1,explicit_alias,90.05
03,Manrique,0310,Versalles No.2,5462,VERSALES No.2,explicit_alias,90.05
03,Manrique,0311,La Cruz,10128,LA CRUZ,exact,90.05
03,Manrique,0312,Oriente,4549,ORIENTE,exact,90.05
03,Manrique,0313,María Cano-Carambolas,7604,MARIA CANO-CARAMBOLAS,exact,90.05
03,Manrique,0314,San José La Cima No.1,2992,SAN JOSE LA CIMA No.1,exact,90.05
03,Manrique,0315,San José La Cima No.2,2015,SAN JOSE LA CIMA No.2,exact,90.05
04,Aranjuez,0401,Berlín,12527,BERLIN,exact,95.6
04,Aranjuez,0402,San Isidro,19084,SAN ISIDRO,exact,95.6
04,Aranjuez,0403,Palermo,5603,PALERMO,exact,95.6
04,Aranjuez,0404,Bermejal-Los Álamos,10026,BERMEJAL-LOS ALAMOS,exact,95.6
04,Aranjuez,0405,Moravia,27141,MORAVIA,exact,95.6
04,Aranjuez,0407,Sevilla,1666,SEVILLA,exact,95.6
04,Aranjuez,0408,San Pedro,4493,SAN PEDRO,exact,95.6
04,Aranjuez,0409,Manrique Central No.1,8779,MANRIQUE CENTRAL No.1,exact,95.6
04,Aranjuez,0410,Campo Valdés No.1,14520,CAMPO VALDES No.1,exact,95.6
04,Aranjuez,0411,Las Esmeraldas,8405,LAS ESMERALDAS,exact,95.6
04,Aranjuez,0412,La Piñuela,9218,LA PINUELA,exact,95.6
04,Aranjuez,0413,Aranjuez,9342,ARANJUEZ,exact,95.6
04,Aranjuez,0414,Brasilia,11956,BRASILIA,exact,95.6
04,Aranjuez,0415,Miranda,6090,MIRANDA,exact,95.6
05,Castilla,0501,Toscana,7418,TOSCANA,exact,98.62
05,Castilla,0502,Las Brisas,8597,LAS BRISAS,exact,98.62
05,Castilla,0503,Florencia,11797,FLORENCIA,exact,98.62
