BARRIO,barrio_code,comuna_name,population_2026,hazard_weighted_population_proxy_2026,imcv_ampi_2023,priority_exposure,rank_exposure,priority_balanced,rank_balanced,priority_equity,rank_equity,rank_hazard_only
SANTO DOMINGO SAVIO No.1,0101,Popular,23697.0,16817.367501850298,84.57,1.0,1.0,1.0,1.0,1.0,1.0,15
CARPINELO,0112,Popular,13080.0,12306.666283964536,84.57,0.9679093556974824,2.0,0.9759320167731118,2.0,0.9823501456336154,2.0,4
POPULAR,0103,Popular,25378.0,10336.245679440182,84.57,0.9499787475688346,3.0,0.962484060676626,3.0,0.972488311162859,3.0,31
MOSCU,0105,Popular,14317.0,6274.495573348692,84.57,0.8986848767124298,14.0,0.9240136575343223,4.0,0.9442766821918365,4.0,30
LA AVANZADA,0111,Popular,7723.0,6209.155583246627,84.57,0.8976092071956474,15.0,0.9232069053967356,5.0,0.9436850639576062,5.0,11
LA CRUZ,0311,Manrique,10128.0,9993.31205355234,90.05,0.9465114777692454,4.0,0.918593674631937,6.0,0.8962594321220904,11.0,3
VERSALES No.1,0309,Manrique,19061.0,9837.975830881318,90.05,0.9449015961795537,5.0,0.9173862634396683,7.0,0.89537399724776,12.0,24
SANTO DOMINGO SAVIO No.2,0102,Popular,9265.0,5560.7642985815655,84.57,0.8862764219553054,18.0,0.9147073164664791,8.0,0.937452032075418,6.0,23
LA ISLA,0201,Santa Cruz,13593.0,8291.076094333615,89.42,0.9273222268283643,8.0,0.9089485718693142,9.0,0.8942496479020741,13.0,22
LAS GRANJAS,0302,Manrique,27361.0,7855.605785802258,90.05,0.9217780917560353,10.0,0.9000436351220295,10.0,0.8826560698148249,16.0,37
GRANIZAL,0104,Popular,11942.0,4172.879436652479,84.57,0.8567735688640297,25.0,0.8925801766480222,11.0,0.9212254628752163,7.0,36
LOS MANGOS,0807,Villa Hermosa,18439.0,8735.976121212543,92.38,0.9326935072277975,6.0,0.890674440246044,12.0,0.8570591866606413,21.0,28
LLANADITAS No.2,0806,Villa Hermosa,10416.0,8690.949305557517,92.38,0.9321624899916409,7.0,0.8902761773189265,13.0,0.8567671271807552,22.0,9
MARIA CANO-CARAMBOLAS,0313,Manrique,7604.0,6890.205865041394,90.05,0.9083037304051088,13.0,0.8899378641088346,14.0,0.8752451710718153,17.0,7
VILLATINA,0813,Villa Hermosa,14743.0,7914.154204046728,92.38,0.9225411260040376,9.0,0.883060154328224,15.0,0.8514753769875734,24.0,25
EL COMPROMISO,0108,Popular,4317.0,3661.270336982175,84.57,0.8433347601042676,28.0,0.8825010700782007,16.0,0.9138341180573473,8.0,10
LA SALLE,0301,Manrique,17545.0,5911.791882416501,90.05,0.8925663823636845,16.0,0.8781348530777664,17.0,0.8665896296490319,19.0,34
15 DE NOVIEMBRE,0811,Villa Hermosa,9155.0,7161.503903747802,92.38,0.9122721415394357,11.0,0.8753584159797726,18.0,0.8458274355320423,25.0,13
LA LIBERTAD,0812,Villa Hermosa,10654.0,6951.70916590857,92.38,0.9092168956759609,12.0,0.8730669815821666,19.0,0.8441470503071312,28.0,19
LA FRANCIA,0205,Santa Cruz,15853.0,5109.424398083419,89.42,0.8775784824621031,21.0,0.8716407635946184,20.0,0.8668905885006304,18.0,35
VERSALES No.2,0310,Manrique,5462.0,5427.420475496541,90.05,0.8837824231003473,19.0,0.8715468836302634,21.0,0.8617584520541964,20.0,2
LA ESPERANZA No.2,0110,Popular,3768.0,3095.670630593593,84.57,0.8260940807510475,30.0,0.8695705605632856,22.0,0.9043517444130762,9.0,14
SAN PABLO,0107,Popular,13437.0,2874.139197412001,84.57,0.818465640466098,31.0,0.8638492303495735,23.0,0.900156102256354,10.0,46
EL RAIZAL,0305,Manrique,13624.0,4582.472457065104,90.05,0.8663942042936531,23.0,0.8585057195252428,24.0,0.8521949317105146,23.0,33
LAS  ESTANCIAS,0815,Villa Hermosa,9771.0,5666.035367365331,92.38,0.888203482909963,17.0,0.8573069220076681,25.0,0.8325896732858323,30.0,21
EL PINAL,0810,Villa Hermosa,17546.0,5118.8098414071255,92.38,0.877767054096273,20.0,0.8494796003974007,26.0,0.8268496374383028,31.0,38
SANTA INES,0304,Manrique,18399.0,4023.0957467372846,90.05,0.8530176752022398,26.0,0.8484733227066829,27.0,0.8448378407102373,27.0,42
VILLA GUADALUPE,0106,Popular,11410.0,2349.6755693169403,84.57,0.7977674256070725,34.0,0.8483255692053043,28.0,0.88877208408389,14.0,44
ALDEA PABLO VI,0109,Popular,3180.0,2272.1621843738626,84.57,0.7943213735568754,36.0,0.8457410301676566,29.0,0.8868767554562815,15.0,16
ORIENTE,0312,Manrique,4549.0,3871.7241289240337,90.05,0.8490771650534336,27.0,0.8455179400950782,30.0,0.8426705601283939,29.0,8
VILLA DEL SOCORRO,0207,Santa Cruz,13606.0,3500.885377489094,89.42,0.8387324251743185,29.0,0.8425062206287799,31.0,0.8455252569923488,26.0,40
SAN ANTONIO,0814,Villa Hermosa,4601.0,4256.964025915195,92.38,0.8588233868425855,24.0,0.835271849957135,32.0,0.8164306204487748,33.0,6
SAN JOSE LA CIMA No.1,0314,Manrique,2992.0,2832.472944893281,90.05,0.8169653731569962,32.0,0.8214340961727502,33.0,0.8250090745853533,32.0,5
SAN JOSE LA CIMA No.2,0315,Manrique,2015.0,2011.70202686808,90.05,0.7818145959456028,38.0,0.795071013264205,34.0,0.805676147119087,35.0,1
MOSCU No.1,0209,Santa Cruz,9102.0,1883.5331032393344,89.42,0.7750523680417898,39.0,0.7947461777793834,35.0,0.8105012255694581,34.0,43
VILLA LILIAM,0819,Villa Hermosa,4885.0,2409.1922020017796,92.38,0.8003371224262793,33.0,0.7914071516449054,36.0,0.7842631750198064,38.0,27
VILLA TURBAY,0816,Villa Hermosa,3833.0,2242.8011171872868,92.38,0.7929852752284327,37.0,0.7858932662465203,37.0,0.7802196590609907,39.0,26
ANDALUCIA,0206,Santa Cruz,9974.0,1621.692399382715,89.42,0.7596782809849646,43.0,0.7832156124867644,38.0,0.8020454776882042,36.0,49
PLAYON DE  LOS COMUNEROS,0202,Santa Cruz,11243.0,1599.6301372643902,89.42,0.7582713911665521,44.0,0.7821604451229549,39.0,0.8012716882880774,37.0,51
BARRIOS DE JESUS,0902,Buenos Aires,12979.0,4682.819883594448,101.5,0.8686199594053926,22.0,0.7739031853466906,40.0,0.698129766099729,56.0,32
LA SIERRA,0817,Villa Hermosa,2505.0,1869.4082737173253,92.38,0.7742791728735766,40.0,0.7718636894803783,41.0,0.7699313027658199,41.0,17
ENCISO,0808,Villa Hermosa,12640.0,1718.66097047985,92.38,0.7656432412428279,41.0,0.7653867407573168,42.0,0.765181540368908,42.0,50
SAN ISIDRO,0402,Aranjuez,19084.0,2296.077868981467,95.6,0.7953969834763304,35.0,0.7634404440569162,43.0,0.737875212521385,48.0,52
PABLO VI,0203,Santa Cruz,5289.0,1062.753123947288,89.42,0.7162791483080436,48.0,0.7506662629790737,44.0,0.7781759547158977,40.0,45
EL POMAR,0306,Manrique,4002.0,973.7893186923269,90.05,0.7073032782170132,49.0,0.7391875249677629,45.0,0.7646949223683628,43.0,41
MANRIQUE ORIENTAL,0308,Manrique,14111.0,821.4526641300884,90.05,0.6898390981192402,51.0,0.7260893898944332,46.0,0.7550896233145875,44.0,63
CAMPO VALDES No.2,0303,Manrique,18685.0,793.0017881077328,90.05,0.6862209690696324,54.0,0.7233757931072273,47.0,0.7530996523373032,45.0,66
LAS ESMERALDAS,0411,Aranjuez,8405.0,1265.3746703146187,95.6,0.7341980409215693,47.0,0.7175412371408454,48.0,0.7042157941162663,54.0,48
VILLA NIZA,0208,Santa Cruz,7475.0,677.9290596193673,89.42,0.670129970271366,56.0,0.7160543794515655,49.0,0.752793906795725,46.0,53
VILLA HERMOSA,0801,Villa Hermosa,10969.0,815.841656282687,92.38,0.689135551845629,53.0,0.7080059737094176,50.0,0.7231023112004487,49.0,62
LA LADERA,0804,Villa Hermosa,2380.0,721.7371652169744,92.38,0.6765562313374046,55.0,0.6985714833282494,51.0,0.7161836849209252,51.0,39
SANTA CRUZ,0210,Santa Cruz,15876.0,532.9481800660272,89.42,0.6454421747703178,60.0,0.6975385328257793,52.0,0.7392156192701486,47.0,70
BOMBONA No.2,0903,Buenos Aires,19937.0,1648.2884739205901,101.5,0.7613490768024013,42.0,0.6934500233944471,53.0,0.6391307806680838,63.0,55
JUAN PABLO,0901,Buenos Aires,2696.0,1576.306228647285,101.5,0.7567628020798994,45.0,0.6900103173525707,54.0,0.6366083295707078,64.0,20
LA MANSION,0802,Villa Hermosa,10027.0,635.3565415434091,92.38,0.6634746641776049,57.0,0.6887603079583996,55.0,0.7089888229830354,52.0,61
BRASILIA,0414,Aranjuez,11956.0,819.7838115248691,95.6,0.6896303487879448,52.0,0.6841154680406271,56.0,0.6797035634427729,57.0,60
8 DE MARZO,0917,Buenos Aires,1907.0,1449.6283134524633,101.5,0.7481585123406076,46.0,0.6835571000481019,57.0,0.6318759702140972,65.0,12
MANRIQUE CENTRAL No.2,0307,Manrique,6206.0,446.66883038988124,90.05,0.6273290254759878,62.0,0.6792068354119938,58.0,0.7207090833607988,50.0,56
SUCRE,0809,Villa Hermosa,6159.0,536.4014780209177,92.38,0.646104713620029,59.0,0.6757328450402176,59.0,0.6994353501763686,55.0,54
LA ROSA,0211,Santa Cruz,8873.0,306.92638921768287,89.42,0.5888722671964347,67.0,0.655111102145367,60.0,0.7081021701045128,53.0,68
LA PINUELA,0412,Aranjuez,9218.0,548.8145787033393,95.6,0.6484515905798727,58.0,0.653231399384573,61.0,0.6570552464283332,59.0,64
CATALUÑA,0909,Buenos Aires,11740.0,907.0625755702595,101.5,0.7000158764804589,50.0,0.6474501231529903,62.0,0.6053975204910156,67.0,57
BERLIN,0401,Aranjuez,12527.0,437.6735218765351,95.6,0.625242918854512,63.0,0.6358248955905524,63.0,0.6442904769793849,60.0,67
MIRANDA,0415,Aranjuez,6090.0,413.69062156523273,95.6,0.6194647700812934,64.0,0.6314912840106386,64.0,0.6411124951541147,62.0,59
BATALLON GIRARDOT,0805,Villa Hermosa,432.0,255.99644761872784,92.38,0.5702911489512327,68.0,0.6188726715386204,65.0,0.6577378896085306,58.0,18
ARANJUEZ,0413,Aranjuez,9342.0,321.58726623007925,95.6,0.5936525189668443,66.0,0.6121320956748018,66.0,0.6269157570411676,66.0,71
SAN MIGUEL,0803,Villa Hermosa,10162.0,201.527088852607,92.38,0.5458119034279888,71.0,0.6005132373961874,67.0,0.6442743045707465,61.0,76
LORETO,0913,Buenos Aires,31263.0,478.4100426491943,101.5,0.6343692034569686,61.0,0.5982151183853726,68.0,0.5692918503280958,69.0,74
ALEJANDRO ECHAVARRIA,0905,Buenos Aires,7751.0,369.46500047658117,101.5,0.6078747240451676,65.0,0.5783442588265219,69.0,0.5547198866516052,71.0,65
MANRIQUE CENTRAL No.1,0409,Aranjuez,8779.0,165.43357856850724,95.6,0.5256399845215476,73.0,0.5611226948408292,70.0,0.5895088630962544,68.0,75
LAS BRISAS,0502,Castilla,8597.0,207.0600403078646,98.62,0.5485819358247755,69.0,0.5555744868294014,71.0,0.561168527633102,70.0,72
LA ASOMADERA No.1,0914,Buenos Aires,13076.0,202.00585508186597,101.5,0.5460545670074931,70.0,0.5319791410482659,72.0,0.5207188002808842,74.0,78
HECTOR ABAD GOMEZ,0507,Castilla,3638.0,146.10348263518318,98.62,0.5129516884191074,74.0,0.5288518012751503,73.0,0.5415718915599845,72.0,69
LA ASOMADERA No.2,0915,Buenos Aires,1210.0,182.36750060873416,101.5,0.5355982350449765,72.0,0.5241368920763785,74.0,0.5149678177015002,76.0,47
LOS CERROS EL VERGEL,0904,Buenos Aires,8689.0,135.66270802561908,101.5,0.5053855341410662,75.0,0.5014773663984459,75.0,0.4983508322043495,77.0,77
PALERMO,0403,Aranjuez,5603.0,52.38887467087008,95.6,0.40878824688767945,76.0,0.47348389161542803,76.0,0.525240407397627,73.0,79
