budget_credits,spent,projects,robust_objective_linearized,mean_benefit_proxy_additive,p10_benefit_proxy_additive,solver_success
4,4,2,38.517652812546075,38.51411086174106,20.710674239569684,True
5,5,3,47.91985382709571,48.0926511339037,25.668526285124745,True
6,6,4,54.022339789493486,54.356568422219325,28.92441466354831,True
7,7,3,61.63958396752933,60.71953173752562,34.00772429632413,True
8,8,4,71.04178498207897,70.29807200968825,38.965576341879185,True
9,9,5,77.14427094447674,76.56198929800388,42.22146472030275,True
10,10,4,83.53540933805371,82.42825699292516,46.31689608422337,True
11,11,5,92.93761035260334,92.00679726508778,51.27474812977843,True
12,12,6,99.04009631500114,98.27071455340342,54.530636508201994,True
13,13,7,104.61273313311477,104.12103796205989,57.48489398728278,True
14,14,6,113.72179647742625,113.15435936413444,62.45278023499808,True
15,15,7,119.82428243982405,119.41827665245007,65.70866861342165,True
16,16,8,125.3969192579377,125.26860006110653,68.66292609250243,True
17,17,9,130.9689416217671,131.46461706471064,71.66601944754103,True
18,18,8,136.57198983151423,135.12656295411026,75.50405801914789,True
19,19,9,142.1446266496279,140.97688636276672,78.45831549822867,True
20,20,10,147.71664901345733,147.17290336637083,81.46140885326727,True
